State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
GA,06,GA06,"Handel, Karen",(R),46.8,48.3,37.5,60.8,40.1,59,39%,61%,13.69,,,,,,,
GA,07,GA07,"Woodall, Rob",(R),44.8,51.1,38.3,60.2,39.1,60.1,39%,61%,13.85,,,,,,,
GA,08,GA08,"Scott, Austin",(R),34.4,63.3,37.5,61.6,37.8,61.6,38%,62%,15.07,,,,,,,
GA,09,GA09,"Collins, Doug",(R),19.3,77.8,20.5,78.1,24.3,74.7,23%,77%,30.33,,,,,,,
GA,10,GA10,"Hice, Jodi",(R),35.8,61.3,36.3,62.5,38.8,60.4,38%,62%,15.07,,,,,,,
GA,11,GA11,"Loudermilk, Barry",(R),35.3,60.3,31.5,66.9,34.7,64.3,34%,66%,19.46,,,,,,,
GA,12,GA12,"Allen, Rick",(R),40.7,56.9,43.6,55.4,43.9,55.6,44%,56%,8.92,,,,,,,
GA,13,GA13,"Scott, David",(D),71,26.6,69.2,30,67.1,32.3,69%,31%,15.63,,,,,,,
GA,14,GA14,"Graves, Tom",(R),22.1,75,25.3,73.2,27.8,71,27%,73%,26.09,,,,,,,
HI,01,HI01,"Hanabusa, Colleen",(D),63.1,30.5,69.7,29,70.3,28.3,71%,29%,17.96,,,,,,,
HI,02,HI02,"Gabbard, Tulsi",(D),61.4,29.6,71.4,26.7,73.4,24.9,74%,26%,20.73,,,,,,,
IA,01,IA01,"Blum, Rod",(R),45.2,48.7,56.2,42.5,58.5,40.4,58%,42%,5.05,,,,,,,
IA,02,IA02,"Loebsack, David",(D),45,49.1,55.8,42.7,57.1,41.6,57%,43%,4.25,,,,,,,
IA,03,IA03,"Young, David",(R),45,48.5,51.4,47.2,52.4,46.3,53%,47%,0.39,,,,,,,
IA,04,IA04,"King, Steve",(R),33.5,60.9,45.3,53.4,48.5,50.2,48%,52%,5.48,,,,,,,
ID,01,ID01,"Labrador, Raul",(R),25.4,63.7,32.2,64.9,35.1,62.5,35%,65%,18.43,,,,,,,
ID,02,ID02,"Simpson, Mike",(R),29.8,54.5,33.1,64.1,37.1,60.5,36%,64%,16.96,,,,,,,
IL,01,IL01,"Rush, Bobby",(D),75.4,21.4,79,20.2,80.8,18.5,81%,19%,27.5,,,,,,,
IL,02,IL02,"Kelly, Robin",(D),78,19.1,80.7,18.5,81.1,18.2,82%,18%,28.51,,,,,,,
IL,03,IL03,"Lipinski, Dan",(D),55.2,39.9,55.9,42.6,58.3,40.4,58%,42%,4.91,,,,,,,
IL,04,IL04,"Gutierrez, Luis",(D),82.1,13.2,80.9,17.1,80.5,18.2,82%,18%,29.05,,,,,,,
IL,05,IL05,"Quigley, Mike",(D),70.5,23.9,66,31.8,69.9,28.8,69%,31%,16.16,,,,,,,
IL,06,IL06,"Roskam, Peter",(R),50.2,43.2,45.1,53.3,51.3,47.3,49%,51%,4.07,,,,,,,
