1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME (Last; First),TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)"
211,Arizona,AZ,6,H8AZ06012,,Richard,Grayson,Grayson; Richard,,W(GRE)/GRE,6,100.00%,,,3407,1.37%,,
212,Arizona,AZ,6,n/a,,,,,Party Votes:,GRE,6,,,,,,,
213,Arizona,AZ,6,n/a,,,,,District Votes:,,122676,,,,249383,,,
214,Arizona,AZ,,n/a,,,,,,,,,,,,,,
215,Arizona,AZ,7,H2AZ07070,(I),Raúl M.,Grijalva,Grijalva; Raúl M.,,DEM,33931,100.00%,,,79935,50.23%,,
216,Arizona,AZ,7,n/a,,,,,Party Votes:,DEM,33931,,,,,,,
217,Arizona,AZ,7,H0AZ07017,,Ruth,McClung,McClung; Ruth,,REP,15455,50.95%,,,70385,44.23%,,
218,Arizona,AZ,7,H0AZ07025,,Terry,Myers,Myers; Terry,,REP,7044,23.22%,,,,,,
219,Arizona,AZ,7,H0AZ07041,,Joseph,Sweeney,Sweeney; Joseph,,REP,3702,12.20%,,,,,,
220,Arizona,AZ,7,H0AZ07058,,Robert,Wilson,Wilson; Robert,,REP,2737,9.02%,,,,,,
221,Arizona,AZ,7,H0AZ07033,,Christopher J.,Flowers,Flowers; Christopher J.,,REP,1394,4.60%,,,,,,
222,Arizona,AZ,7,n/a,,,,,Party Votes:,REP,30332,,,,,,,
223,Arizona,AZ,7,H0AZ07025,,Harley,Myer,Myer; Harley,,IND,,,,,4506,2.83%,,
224,Arizona,AZ,7,H0AZ07074,,George,Keane,Keane; George,,LIB,159,56.79%,,,4318,2.71%,,
225,Arizona,AZ,7,H0AZ07066,,Andrew,Ibarra,Ibarra; Andrew,,LIB,121,43.21%,,,,,,
226,Arizona,AZ,7,n/a,,,,,Party Votes:,LIB,280,,,,,,,
227,Arizona,AZ,7,n/a,,,,,District Votes:,,64543,,,,159144,,,
228,Arizona,AZ,,n/a,,,,,,,,,,,,,,
229,Arizona,AZ,8,H6AZ08038,(I),Gabrielle,Giffords,Giffords; Gabrielle,,DEM,55530,100.00%,,,138280,48.76%,,
230,Arizona,AZ,8,n/a,,,,,Party Votes:,DEM,55530,,,,,,,
231,Arizona,AZ,8,H0AZ08015,,Jesse,Kelly,Kelly; Jesse,,REP,43097,48.31%,,,134124,47.30%,,
