St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
KY,2,KY02,35.1,63.3,37.2,61.4,34,66,36%,64%,15.36,,,,,,,
KY,3,KY03,55.7,42.8,56.2,42.8,51,49,54%,46%,2.65,,,,,,,
KY,4,KY04,34.8,63.4,37,61.5,34,66,36%,64%,15.45,,,,,,,
KY,5,KY05,23.2,75,31.6,66.6,39,61,36%,64%,15.59,,,,,,,
KY,6,KY06,42.2,55.7,44.7,53.8,43,57,44%,56%,7.03,,,,,,,
LA,1,LA01,26.9,70.9,25.3,72.7,30,70,28%,72%,23.29,,,,,,,
LA,2,LA02,75.8,22.8,73.4,25.4,73,27,74%,26%,22.43,,,,,,,
LA,3,LA03,32.3,66.1,34.1,64.3,39,61,37%,63%,14.37,,,,,,,
LA,4,LA04,39.7,59,39.9,58.9,41,59,41%,59%,10.52,,,,,,,
LA,5,LA05,37.7,61,36.7,62,38,62,38%,62%,13.62,,,,,,,
LA,6,LA06,32,66.1,30.9,67.5,33,67,32%,68%,19.01,,,,,,,
MA,1,MA01,63.9,34.3,64.1,33.7,64,36,65%,35%,13.55,,,,,,,
MA,2,MA02,58.7,39.2,60.4,37.4,61,39,61%,39%,10.16,,,,,,,
MA,3,MA03,56.9,41.4,58.8,39.4,58,42,59%,41%,7.72,,,,,,,
MA,4,MA04,57.2,41.3,60.4,38,62,38,62%,38%,10.48,,,,,,,
MA,5,MA05,65.1,33.2,66.2,32.1,67,33,67%,33%,15.96,,,,,,,
MA,6,MA06,54.7,43.9,56.9,41.4,58,42,58%,42%,6.73,,,,,,,
MA,7,MA07,82.5,15.6,81.5,17.1,78,22,80%,20%,29.1,,,,,,,
MA,8,MA08,57.8,40.9,58,40.4,61,39,60%,40%,8.77,,,,,,,
MA,9,MA09,55.6,43.1,57.8,40.6,59,41,59%,41%,7.66,,,,,,,
MD,1,MD01,37.8,60.3,38.6,59.8,35,65,37%,63%,14.12,,,,,,,
MD,2,MD02,62.9,35.1,61.2,37.3,55,45,59%,41%,7.32,,,,,,,
MD,3,MD03,60.6,37.2,60.2,38.3,56,44,59%,41%,7.32,,,,,,,
MD,4,MD04,78.3,20.7,77.4,21.8,71,29,74%,26%,23.28,,,,,,,
MD,5,MD05,66.2,32.3,65.2,33.8,58,42,62%,38%,10.69,,,,,,,
MD,6,MD06,55.4,42.6,56.6,42.1,50,50,54%,46%,2.43,,,,,,,
MD,7,MD07,76,22.5,76,22.9,71,29,74%,26%,22.69,,,,,,,
MD,8,MD08,62,36.1,63.5,35.3,59,41,62%,38%,10.41,,,,,,,
ME,1,ME01,59.5,38.2,60.7,37.5,57,43,59%,41%,8.17,,,,,,,
ME,2,ME02,53,44.3,54.5,43.4,52,48,54%,46%,2.6,,,,,,,
MI,1,MI01,45.3,53.6,49.7,48.4,45,55,48%,52%,3.41,,,,,,,
MI,2,MI02,43,56,48,50.3,39,61,44%,56%,7.34,,,,,,,
MI,3,MI03,45.7,53.1,49.7,48.6,42,58,46%,54%,4.97,,,,,,,
MI,4,MI04,45.4,53.5,49.6,48.6,44,56,47%,53%,3.99,,,,,,,
MI,5,MI05,60.7,38.3,63,35.4,59,41,61%,39%,10.28,,,,,,,
MI,6,MI06,48.9,50.1,53.2,45.3,46,54,50%,50%,1.24,,,,,,,
MI,7,MI07,47.9,51,50.8,47.4,45,55,48%,52%,2.88,,,,,,,
MI,8,MI08,48,51.1,52,46.4,45,55,49%,51%,2.32,,,,,,,
MI,9,MI09,57.2,41.9,58.1,40.1,54,47,56%,44%,5.06,,,,,,,
MI,10,MI10,43.7,55.3,48,50.1,43,57,46%,54%,5.28,,,,,,,
MI,11,MI11,46.9,52.3,50.2,48.3,44,56,47%,53%,3.76,,,,,,,
MI,12,MI12,66.2,32.8,66.9,31.4,62,38,65%,35%,13.79,,,,,,,
MI,13,MI13,85.2,14.3,84.8,14.2,83,17,84%,16%,33.11,,,,,,,
MI,14,MI14,81,18.6,82.2,17.1,76,24,79%,21%,28.16,,,,,,,
MN,1,MN01,49.6,48.2,50.8,46.7,48,52,50%,50%,1.19,,,,,,,
MN,2,MN02,49.1,49,50.5,47.6,48,52,50%,50%,1.49,,,,,,,
MN,3,MN03,49.6,48.8,51,47.4,47,53,49%,51%,1.82,,,,,,,
MN,4,MN04,62.5,35.5,62.6,35.5,60,40,62%,38%,10.67,,,,,,,
MN,5,MN05,73.5,24,73.4,24.5,71,29,73%,27%,21.75,,,,,,,
MN,6,MN06,41.5,56.5,43.2,54.7,42,58,43%,57%,8.16,,,,,,,
MN,7,MN07,44.1,53.9,47.1,50.4,43,57,46%,54%,5.59,,,,,,,
MN,8,MN08,51.7,46.2,53.1,44.6,53,47,54%,46%,2.45,,,,,,,
MO,1,MO01,79.9,18.9,80.3,18.6,76,24,79%,21%,27.37,,,,,,,
MO,2,MO02,41.4,57.1,46.4,52.6,42,58,44%,56%,6.79,,,,,,,
MO,3,MO03,36.1,62,42.8,55.8,40,60,42%,58%,9.52,,,,,,,
MO,4,MO04,36.4,61.2,41.9,56.5,39,61,41%,59%,10.44,,,,,,,
MO,5,MO05,58.9,39.4,62,36.8,59,41,61%,39%,9.65,,,,,,,
MO,6,MO06,37.9,60,43.1,55.3,41,59,42%,58%,8.83,,,,,,,
MO,7,MO07,30.3,67.6,35.4,63.1,32,68,34%,66%,17.26,,,,,,,
MO,8,MO08,32,65.9,38.3,60,38,62,38%,62%,12.74,,,,,,,
MS,1,MS01,37,61.9,36.6,62.4,37,63,37%,63%,14.23,,,,,,,
MS,2,MS02,66.4,33,64.2,35.2,58,42,61%,39%,10.07,,,,,,,
MS,3,MS03,39.1,60,38.4,60.9,34,66,36%,64%,14.89,,,,,,,
MS,4,MS04,31.2,67.6,31.1,67.9,31,69,31%,69%,20.01,,,,,,,
MT,1,MT01,41.7,55.4,46.8,48.8,40,61,44%,56%,7.06,,,,,,,
NC,1,NC01r,71.3,28.2,70.6,28.9,65,35,68%,32%,16.76,,,,,,,
NC,2,NC02r,42.2,56.8,43.3,55.7,37,63,40%,60%,10.86,,,,,,,
NC,3,NC03r,41.6,57.4,43,56.1,38,62,41%,59%,10.53,,,,,,,
NC,4,NC04r,71,27.8,72.1,27,64,36,68%,32%,17.14,,,,,,,
NC,5,NC05r,39.8,59,42,56.8,36,64,39%,61%,11.98,,,,,,,
NC,6,NC06r,41.2,57.8,43.2,55.8,37,63,40%,60%,10.91,,,,,,,
NC,7,NC07r,39.9,59.2,41.5,57.6,39,61,40%,60%,10.78,,,,,,,
NC,8,NC08r,40.9,58.2,41.7,57.4,37,63,40%,60%,11.69,,,,,,,
NC,9,NC09r,43.3,55.7,45,54.1,37,63,41%,59%,10.03,,,,,,,
NC,10,NC10r,40.8,58.1,42,56.9,39,61,41%,59%,10.49,,,,,,,
NC,11,NC11r,37.8,60.9,40.4,58.2,37,63,39%,61%,12.24,,,,,,,
NC,12,NC12r,78.9,20.4,78.1,21.4,70,30,74%,26%,23.02,,,,,,,
NC,13,NC13r,44.4,54.5,44.9,54.2,38,62,42%,58%,9.58,,,,,,,
ND,1,ND01,39,58.7,44.6,53.3,36,64,41%,59%,10.49,,,,,,,
NE,1,NE01,40.8,57.4,44.2,54.3,35,65,40%,60%,11.32,,,,,,,
NE,2,NE02,45.7,52.9,49.9,48.8,39,61,45%,55%,6.47,,,,,,,
