State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
IL,14,IL14,"Hultgren, Randy",(R),44.2,54.2,50.7,48,48%,52%,4.85,,,,,,,,,
IL,15,IL15,"Shimkus, John",(R),34.1,63.9,42.8,55.4,39%,61%,13.81,,,,,,,,,
IL,16,IL16,"Kinzinger, Adam",(R),45.2,52.9,50,48.2,48%,52%,4.5,,,,,,,,,
IL,17,IL17,"Bustos, Cheri",(D),57.6,40.6,60,38.5,60%,40%,6.79,,,,,,,,,
IL,18,IL18,"LaHood, Darin",(R),37.4,60.7,44.1,54.4,41%,59%,11.55,,,,,,,,,
IN,01,IN01,"Visclosky, Pete",(D),61.2,37.4,63.3,35.8,63%,37%,9.97,,,,,,,,,
IN,02,IN02,"Walorski, Jackie",(R),42.1,56.1,49.6,49.3,47%,53%,6.48,,,,,,,,,
IN,03,IN03,"Stutzman, Marlin",(R),35.7,62.5,43,56,40%,60%,13.09,,,,,,,,,
IN,04,IN04,"Rokita, Todd",(R),36.9,60.9,44.6,54.2,41%,59%,11.55,,,,,,,,,
IN,05,IN05,"Brooks, Susan",(R),40.7,57.5,46.6,52.6,44%,56%,8.78,,,,,,,,,
IN,06,IN06,"Messer, Luke",(R),37.3,60.4,43.6,55,41%,59%,11.79,,,,,,,,,
IN,07,IN07,"Carson, Andre",(D),62.9,35.4,66.3,32.8,65%,35%,12.45,,,,,,,,,
IN,08,IN08,"Bucshon, Larry",(R),39.6,58.4,48.1,50.6,45%,55%,8.41,,,,,,,,,
IN,09,IN09,"Young, Todd",(R),40.7,57.2,46.2,52.7,44%,56%,8.84,,,,,,,,,
KS,01,KS01,"Huelskamp, Tim",(R),27.6,70.1,31,67.2,30%,70%,23.09,,,,,,,,,
KS,02,KS02,"Jenkins, Lynn",(R),42,55.6,45.3,52.8,45%,55%,8.39,,,,,,,,,
KS,03,KS03,"Yoder, Kevin",(R),44.3,53.8,48.8,49.9,47%,53%,5.69,,,,,,,,,
KS,04,KS04,"Pompeo, Mike",(R),36.1,61.6,39.5,58.6,39%,61%,14.39,,,,,,,,,
