CD_Name,Year,Lookup,PVI
OH16o,2006,OH16o_2006,4.38536374
OH17o,2006,OH17o_2006,-13.56335421
OH18o,2006,OH18o_2006,6.656426011
OK01o,2006,OK01o_2006,13.33266435
OK02o,2006,OK02o_2006,5.292463341
OK03o,2006,OK03o_2006,18.35778997
OK04o,2006,OK04o_2006,13.83517691
OK05o,2006,OK05o_2006,12.51356887
OR01o,2006,OR01o_2006,-4.890576209
OR02o,2006,OR02o_2006,11.88470289
OR03o,2006,OR03o_2006,-16.80767465
OR04o,2006,OR04o_2006,0.822469392
OR05o,2006,OR05o_2006,0.029032786
PA01o,2006,PA01o_2006,-35.33491598
PA02o,2006,PA02o_2006,-38.36521901
PA03o,2006,PA03o_2006,2.038821394
PA04o,2006,PA04o_2006,3.320675467
PA05o,2006,PA05o_2006,10.42727445
PA06o,2006,PA06o_2006,-1.496532142
PA07o,2006,PA07o_2006,-3.011683657
PA08o,2006,PA08o_2006,-2.527247458
PA09o,2006,PA09o_2006,15.67518503
PA10o,2006,PA10o_2006,8.396817599
PA11o,2006,PA11o_2006,-4.801151944
PA12o,2006,PA12o_2006,-3.75276279
PA13o,2006,PA13o_2006,-7.33922301
PA14o,2006,PA14o_2006,-21.04480677
PA15o,2006,PA15o_2006,-0.740238238
PA16o,2006,PA16o_2006,11.95011709
PA17o,2006,PA17o_2006,7.381589173
PA18o,2006,PA18o_2006,2.779900527
PA19o,2006,PA19o_2006,12.96534552
RI01o,2006,RI01o_2006,-15.5905978
RI02o,2006,RI02o_2006,-11.74297563
SC01o,2006,SC01o_2006,10.42727445
SC02o,2006,SC02o_2006,9.717650501
SC03o,2006,SC03o_2006,14.66508402
SC04o,2006,SC04o_2006,15.3298954
SC05o,2006,SC05o_2006,6.366360747
SC06o,2006,SC06o_2006,-10.58744123
SD01o,2006,SD01o_2006,10.73805866
TN01o,2006,TN01o_2006,14.66508402
TN02o,2006,TN02o_2006,11.95011709
TN03o,2006,TN03o_2006,9.412046026
TN04o,2006,TN04o_2006,4.059023414
TN05o,2006,TN05o_2006,-5.260300478
TN06o,2006,TN06o_2006,4.564073919
TN07o,2006,TN07o_2006,12.644882
TN08o,2006,TN08o_2006,0.267337713
TN09o,2006,TN09o_2006,-17.32060199
TX01o,2006,TX01o_2006,17.67277285
TX02o,2006,TX02o_2006,12.51356887
TX03o,2006,TX03o_2006,18.01356887
TX04o,2006,TX04o_2006,17.51356887
TX05o,2006,TX05o_2006,16.01356887
TX06o,2006,TX06o_2006,15.51356887
TX07o,2006,TX07o_2006,16.01356887
TX08o,2006,TX08o_2006,20.01356887
TX09o,2006,TX09o_2006,-19.98643113
TX10o,2006,TX10o_2006,13.69267335
TX11o,2006,TX11o_2006,26.01356887
TX12o,2006,TX12o_2006,15.01356887
TX13o,2006,TX13o_2006,25.51356887
TX14o,2006,TX14o_2006,15.01356887
TX15o,2006,TX15o_2006,-1.986431132
TX16o,2006,TX16o_2006,-8.197873918
TX17o,2006,TX17o_2006,18.51356887
TX18o,2006,TX18o_2006,-22.48643113
TX19o,2006,TX19o_2006,25.51356887
TX20o,2006,TX20o_2006,-6.986431132
TX21o,2006,TX21o_2006,17.01356887
TX22o,2006,TX22o_2006,15.01356887
TX23o,2006,TX23o_2006,4.737449465
TX24o,2006,TX24o_2006,16.01356887
TX25o,2006,TX25o_2006,-0.986431132
TX26o,2006,TX26o_2006,13.01356887
TX27o,2006,TX27o_2006,2.013568868
TX28o,2006,TX28o_2006,1.513568868
TX29o,2006,TX29o_2006,-6.986431132
TX30o,2006,TX30o_2006,-24.98643113
TX31o,2006,TX31o_2006,17.17526041
TX32o,2006,TX32o_2006,11.51356887
UT01o,2006,UT01o_2006,22.57056369
UT02o,2006,UT02o_2006,17.71869707
UT03o,2006,UT03o_2006,27.06458928
VA01o,2006,VA01o_2006,9.717650501
VA02o,2006,VA02o_2006,6.584275939
VA03o,2006,VA03o_2006,-17.49150727
VA04o,2006,VA04o_2006,5.574174929
VA05o,2006,VA05o_2006,6.436645791
VA06o,2006,VA06o_2006,12.26867091
VA07o,2006,VA07o_2006,11.44250288
VA08o,2006,VA08o_2006,-12.85756515
VA09o,2006,VA09o_2006,8.187038256
VA10o,2006,VA10o_2006,6.14622193
VA11o,2006,VA11o_2006,1.554385195
VT01o,2006,VT01o_2006,-8.381167974
WA01o,2006,WA01o_2006,-6.963115069
WA02o,2006,WA02o_2006,-2.048931132
WA03o,2006,WA03o_2006,0.555235535
WA04o,2006,WA04o_2006,13.94655856
WA05o,2006,WA05o_2006,7.760991549
WA06o,2006,WA06o_2006,-4.890576209
WA07o,2006,WA07o_2006,-29.54402275
WA08o,2006,WA08o_2006,-1.768482414
WA09o,2006,WA09o_2006,-4.845405491
WI01o,2006,WI01o_2006,3.08499744
WI02o,2006,WI02o_2006,-12.66259693
WI03o,2006,WI03o_2006,-2.032822884
WI04o,2006,WI04o_2006,-19.87418623
WI05o,2006,WI05o_2006,13.28907907
WI06o,2006,WI06o_2006,5.699135879
WI07o,2006,WI07o_2006,-1.001895049
WI08o,2006,WI08o_2006,4.668208044
WV01o,2006,WV01o_2006,6.366360747
WV02o,2006,WV02o_2006,5.858746533
WV03o,2006,WV03o_2006,0.274990188
WY01o,2006,WY01o_2006,20.28279964
AK01o,2008,AK01o_2008,13.070245
AL01o,2008,AL01o_2008,14.02864525
AL02o,2008,AL02o_2008,16.54120806
AL03o,2008,AL03o_2008,8.790332475
AL04o,2008,AL04o_2008,25.45699914
AL05o,2008,AL05o_2008,12.32568601
AL06o,2008,AL06o_2008,28.60150957
AL07o,2008,AL07o_2008,-17.47229379
AR01o,2008,AR01o_2008,7.84722796
AR02o,2008,AR02o_2008,4.514067285
AR03o,2008,AR03o_2008,15.50028918
AR04o,2008,AR04o_2008,6.826819797
AZ01o,2008,AZ01o_2008,5.760029444
AZ02o,2008,AZ02o_2008,12.83073651
