GEO.id,GEO.id2,GEO.display-label,,,,,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC13,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC24,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC64,HC01_EST_VC67,HC01_EST_VC68,HC01_EST_VC69,HC01_EST_VC70
Id,Id2,Geography,borough,County,State,Congressional District,TotalPop,Pop1to4,Pop5to17,Pop18to24,Pop25to35,Pop35to45,Pop45to55,Pop55to65,Pop65to75,Pop75Over,MedianAge,Male,Female,RaceBase,White,Black,Asian,Hispanic,WhiteNoHispanic,Native,ForeignBorn,Naturalized,ForeignBornNotCitizen,MaritalBase,NeverMarried,Married,Divorced,Widowed,EducationBase,LessThanHS,HSGrad,SomeCollORAssoc,Bachelors,GradProf,MedianIncome,PovertyBase,PovertyBelow100Prct,Poverty100to149,Poverty150UP
0600000US4200312496,4200312496,"Chalfant borough, Allegheny County, Pennsylvania",Chalfant borough, Allegheny County, Pennsylvania,18,784,17,71,41,110,125,144,134,88,54,47.2,364,420,712,656,49,0,10,653,774,10,3,7,702,205,348,97,52,655,41,197,207,128,82,29020,778,82,96,600
0600000US4200313392,4200313392,"Cheswick borough, Allegheny County, Pennsylvania",Cheswick borough, Allegheny County, Pennsylvania,17,1775,75,180,46,250,169,310,300,247,198,50.2,857,918,1767,1757,1,6,8,1757,1698,77,69,8,1559,430,891,117,121,1474,54,484,421,375,140,33477,1775,143,52,1580
0600000US4200313608,4200313608,"Churchill borough, Allegheny County, Pennsylvania",Churchill borough, Allegheny County, Pennsylvania,18,2961,59,374,155,251,264,335,684,511,328,55.7,1355,1606,2883,2267,491,118,41,2240,2798,163,144,19,2579,615,1664,148,152,2373,10,362,458,783,760,45216,2871,79,54,2738
0600000US4200313704,4200313704,"Clairton city, Allegheny County, Pennsylvania",Clairton city, Allegheny County, Pennsylvania,18,6597,361,860,695,921,738,771,1174,640,437,40.9,3151,3446,6472,3752,2603,112,58,3714,6462,135,87,48,5583,2554,1796,700,533,4681,405,2189,1413,476,198,19883,6551,2007,776,3768
0600000US4200315216,4200315216,"Collier township, Allegheny County, Pennsylvania",Collier township, Allegheny County, Pennsylvania,17,7621,206,923,316,780,1030,1178,1582,988,618,50.4,3912,3709,7568,7247,59,209,38,7221,7074,547,218,329,6803,1658,3826,736,583,6176,146,1645,1677,1702,1006,38358,7621,391,356,6874
0600000US4200316144,4200316144,"Coraopolis borough, Allegheny County, Pennsylvania",Coraopolis borough, Allegheny County, Pennsylvania,17,5494,145,736,409,906,637,708,857,530,566,42.7,2682,2812,5127,4212,897,6,119,4128,5251,243,146,97,4849,1896,1838,725,390,4204,410,1507,1191,829,267,23076,5494,917,663,3914
0600000US4200316848,4200316848,"Crafton borough, Allegheny County, Pennsylvania",Crafton borough, Allegheny County, Pennsylvania,17,5805,219,655,545,1072,716,808,964,381,445,39.9,2818,2987,5690,5162,504,7,144,5053,5693,112,55,57,5084,1901,2261,570,352,4386,177,1499,1288,1073,349,31104,5805,306,383,5116
0600000US4200317048,4200317048,"Crescent township, Allegheny County, Pennsylvania",Crescent township, Allegheny County, Pennsylvania,17,2577,92,412,196,273,301,389,389,287,238,45.3,1229,1348,2513,2428,74,10,15,2414,2496,81,52,29,2152,557,1209,206,180,1877,115,631,562,380,189,31098,2572,155,43,2374
0600000US4200319576,4200319576,"Dormont borough, Allegheny County, Pennsylvania",Dormont borough, Allegheny County, Pennsylvania,17,8319,382,718,798,1965,1129,1095,1204,574,454,37,4011,4308,8171,7850,169,95,173,7773,7978,341,213,128,7422,3110,3043,765,504,6421,237,1547,1711,1986,940,31924,8319,511,479,7329
0600000US4200319856,4200319856,"Dravosburg borough, Allegheny County, Pennsylvania",Dravosburg borough, Allegheny County, Pennsylvania,18,1741,48,170,97,233,168,320,266,258,181,50.9,808,933,1720,1660,53,0,0,1660,1741,0,0,0,1575,533,725,202,115,1426,78,657,423,219,49,25391,1741,277,127,1337
0600000US4200320432,4200320432,"Duquesne city, Allegheny County, Pennsylvania",Duquesne city, Allegheny County, Pennsylvania,18,5382,426,1112,555,627,541,741,632,457,291,33.8,2502,2880,4828,1621,3121,5,77,1600,5240,142,66,76,4086,2087,1117,533,349,3289,351,1600,923,253,162,15636,5270,2091,665,2514
0600000US4200321024,4200321024,"East Deer township, Allegheny County, Pennsylvania",East Deer township, Allegheny County, Pennsylvania,17,1385,68,170,57,257,191,245,207,123,67,41.5,778,607,1370,1342,28,0,12,1335,1367,18,9,9,1165,390,544,158,73,1090,73,377,387,176,77,26726,1385,135,113,1137
0600000US4200321444,4200321444,"East McKeesport borough, Allegheny County, Pennsylvania",East McKeesport borough, Allegheny County, Pennsylvania,18,2076,107,291,163,234,271,303,335,192,180,43.2,1024,1052,1933,1781,103,27,19,1769,1997,79,42,37,1732,598,703,275,156,1515,69,672,556,120,98,27713,2076,179,335,1562
0600000US4200321712,4200321712,"East Pittsburgh borough, Allegheny County, Pennsylvania",East Pittsburgh borough, Allegheny County, Pennsylvania,18,1844,148,380,163,327,163,186,258,134,85,31.9,846,998,1831,718,1061,46,41,718,1809,35,22,13,1383,675,387,223,98,1153,120,583,336,93,21,19803,1835,483,417,935
0600000US4200322520,4200322520,"Edgewood borough, Allegheny County, Pennsylvania",Edgewood borough, Allegheny County, Pennsylvania,18,2964,207,261,128,761,352,386,457,267,145,37.5,1415,1549,2925,2574,262,83,137,2443,2771,193,86,107,2543,922,1253,258,110,2368,45,220,458,675,970,46534,2964,315,97,2552
0600000US4200322576,4200322576,"Edgeworth borough, Allegheny County, Pennsylvania",Edgeworth borough, Allegheny County, Pennsylvania,18,1630,66,410,46,84,202,305,256,161,100,45.4,738,892,1590,1555,0,29,31,1534,1529,101,47,54,1279,253,915,59,52,1108,7,77,86,452,486,70000,1630,40,10,1580
0600000US4200322992,4200322992,"Elizabeth borough, Allegheny County, Pennsylvania",Elizabeth borough, Allegheny County, Pennsylvania,18,1437,63,236,103,176,142,192,256,147,122,44.8,664,773,1407,1378,22,0,27,1355,1434,3,3,0,1200,429,505,163,103,1035,101,428,372,89,45,24830,1437,249,198,990
0600000US4200323000,4200323000,"Elizabeth township, Allegheny County, Pennsylvania",Elizabeth township, Allegheny County, Pennsylvania,18,13110,417,1939,819,1368,1702,1766,2071,1548,1480,47.4,6113,6997,12997,12846,81,27,66,12805,12970,140,115,25,11307,2795,6466,1011,1035,9935,394,3777,3281,1614,869,28484,13094,1078,480,11536
0600000US4200323616,4200323616,"Emsworth borough, Allegheny County, Pennsylvania",Emsworth borough, Allegheny County, Pennsylvania,17,2433,72,385,217,411,343,293,389,187,136,39,1255,1178,2358,2251,99,8,21,2251,2377,56,37,19,2056,777,884,275,120,1759,115,464,591,417,172,32321,2328,117,71,2140
