"State","Congressional.District.Number","CD_Name","Under35","Over65","MedianAge","Male","WhiteNoHispanic","Black","Hispanic","ForeignBorn","NeverMarried","Married","LessThanHS","HSGrad","SomeCollORAssoc","Bachelors","GradProf","BachGrad","MedianIncome","Poverty","MedianEarnings_HS","MedianEarnings_Bach","MedianEarnings_HSBach_Diff","Urbanicity","LFPR","Religiosity","Evangelical","RomanCatholic","AvgGOPPres","Veteran","cluster"
"NC",13,"NC13",28.9269176084237,19.7314093668764,39.7,48.107898363595,66.6952459751565,22.336024513686,7.60995650401905,8.03725062552685,31.7205793318822,47.9370675340738,13.6109333630776,27.8932650780885,30.9101547288478,18.5486758913004,9.03697093868573,27.5856468299861,25290,16.7304408930954,27157,44132,16975,73.8229847,75.6,46.866,23.896,3.877,53.15,7.84596435423005,"3"
"ND",1,"ND01",34.9446296475473,18.4265848059179,35.8,51.2445091133562,88.5838619431953,2.02480867004864,3.19071453373646,3.35708813527561,31.8867537049631,51.9731747880714,7.96345112194754,27.4464151488567,36.4175985695352,20.4959307547837,7.67660440487681,28.1725351596606,31273,11.0897945948108,32314,45053,12739,57.33579424,82.6,67.122,11.687,24.881,61.4,8.8130481481218,"1"
"OH",1,"OH01",30.6687917722873,17.8271338997864,37.5,48.7100206130727,71.3461778276593,22.365489915995,2.90049768164246,5.55735642884057,35.1233582069003,46.6833714238511,10.2160780426731,29.0039125671657,27.6657102613595,20.6176639365642,12.4966351922375,33.1142991288017,28208,16.2087833712763,30265,54591,24326,93.36047368,76.6,45.626,12.563,20.729,51.8,7.73916198077272,"1"
"OH",2,"OH02",27.6519818250391,19.8360302437097,40.1,48.7584111347303,87.9040817607551,8.75013552609805,1.89936259936203,2.84216447231601,29.7970519046961,49.1781941253034,11.0990697189926,31.7860033172811,26.6530316263492,18.8225655243147,11.6393298130624,30.4618953373771,27840,14.7000615272946,29224,51520,22296,74.85418819,76,40.035,13.976,15.838,55.25,8.40244638647732,"1"
"OH",3,"OH03",39.425840506968,12.8738117937358,32.7,48.3630982274989,55.8662062155309,34.1771673862964,6.44170020043332,10.9962032182246,43.2230110355769,36.0279621503476,13.0773240949016,30.0587579211036,29.4504088546048,18.2203557045447,9.19315342484532,27.41350912939,25006,22.5509328891596,26402,43944,17542,99.84542086,76.9,40.423,12.39,13.185,28.75,7.16674353232479,"7"
"OH",4,"OH04",26.8294991953044,20.8132159424406,41.1,50.0762480831487,90.4397886406731,5.33549873321197,3.55675661516566,1.69676833077753,28.5210057029918,50.7726940546181,10.4745434936219,41.605406589229,30.9641282474039,10.7171044747749,6.23881719497027,16.9559216697452,25464,13.5214702474612,30414,46509,16095,64.54764393,75.6,45.281,11.514,17.816,60.15,9.35492741772461,"5"
"OH",5,"OH05",28.5164134422681,20.9764828184894,40.1,49.0962355353742,91.2943946628295,2.95239259825905,4.80609816093981,2.61315365460671,27.8225998058529,53.1441983287059,7.54264063387061,36.5300438542361,30.6860349352883,15.4997572795564,9.74152329704868,25.241280576605,27700,11.7879186626875,30467,47864,17397,64.14175571,79.5,51.384,14.175,20.052,56.8,8.55265745392138,"5"
"OH",6,"OH06",24.4285585990121,23.3853614728334,43.5,49.8640130775875,96.0669244924327,2.29346024509399,1.09539698352554,1.11273708481158,25.7472793559375,52.0821220681683,12.4987477609967,43.2875982256274,28.5991352538339,9.92714974374181,5.68736901580025,15.6145187595421,22970,16.5708687711667,27096,44071,16975,43.53925928,70.2,36.743,12.693,9.449,62.25,10.140261550872,"5"
"OH",7,"OH07",25.9251975607116,22.1614404791975,41.4,49.100428088055,93.1804615854756,4.12233928617328,2.14227982441359,1.91975759845816,27.0748541291872,53.0106162486063,12.4930138219627,40.1796184479812,27.7796859217589,12.8250986194296,6.72258318886764,19.5476818082972,25495,12.8468772648067,28238,46409,18171,62.3995979,77.9,46.824,19.437,13.35,58.1,9.29409704608597,"5"
"OH",8,"OH08",28.5314018247533,20.0595919240792,39.3,49.0709254141717,88.8280447576296,6.08021697894583,3.2852969870711,3.58762500593769,28.8542882335046,51.0945956862428,10.9629648264382,36.6297279279506,29.0365320352365,15.0662675102619,8.30450770011279,23.3707752103747,26854,13.6108036497732,30610,51493,20883,76.5762261,77.1,37.344,15.324,11.39,63.5,9.19896059402922,"5"
"OH",9,"OH09",30.4264629936669,18.9279986953331,38.6,48.4707980130241,72.2985560903369,16.788004442799,11.1441688263606,4.38622518587084,37.7541123927464,39.3871620175747,13.6874589024563,33.0035125394328,31.7054544243847,13.919061769088,7.68451236463822,21.6035741337262,23413,21.107677232126,27140,44581,17441,95.50872596,75.7,48.973,9.356,24.761,33.7,8.18425403547447,"7"
"OH",10,"OH10",29.8599078636439,20.9992182477709,39.7,48.373584566869,77.6851980301034,17.4271982150702,2.6554299322559,4.37886473565489,32.5423671280306,45.7155950067465,9.7825040210632,28.3701631988198,33.5306471606684,16.488920306113,11.8277653133356,28.3166856194486,26090,17.0606645704533,26702,48188,21486,93.08220758,75.1,44.845,16.588,12.967,50.7,10.8481959442609,"1"
"OH",11,"OH11",31.0906869294862,19.731921865526,38.6,46.8494350327391,38.7966088062605,55.0695129180531,4.15215688143631,5.22986703507436,44.97108935047,32.0838978461172,14.3046309448428,29.2170092242397,30.0198517960741,14.7076566323824,11.7508514024609,26.4585080348433,21602,26.9318704822732,24947,45572,20625,99.18800476,72.4,51.926,9.046,27.653,16.75,7.20345777769586,"7"
"OH",12,"OH12",28.2357007084845,18.0893084988471,38.7,49.4982379954212,88.9582100121154,4.73525815856296,2.52225314088769,5.08203453153223,28.187096517624,54.1077322799157,7.23923406318171,26.7309348378286,26.4213519569146,24.9161997962389,14.6922793458362,39.6084791420751,32209,10.2405875482464,29986,57738,27752,77.41835281,79.2,36.26,12.278,10.408,53.8,8.19479426118123,"1"
"OH",13,"OH13",29.2313573639491,21.5368272328971,41.1,48.6279096505509,83.6147079793369,11.8448544088508,3.16624845631537,3.5944182402212,34.5201311334155,43.3389879569979,10.5656712893217,39.4872598757339,28.2874325127646,14.426592617324,7.23304370485582,21.6596363221798,23563,18.1172969556515,26818,43039,16221,90.96123012,74.9,46.891,11.833,21.573,40,9.2730756147299,"5"
"OH",14,"OH14",23.0797174715602,23.1908462789745,44.1,48.806292177817,91.079105760963,4.45844081398682,2.64775007165377,5.1073310285269,26.4131869175682,55.0093799719788,8.12538034138055,30.6671609039785,27.5039099589479,20.7312069235511,12.9723418721419,33.703548795693,31173,8.72844149979135,31041,52998,21957,77.97822243,79.4,47.333,9.782,26.794,52.25,8.71090743094467,"1"
"OH",15,"OH15",30.7827987200499,17.963353191637,38.4,50.389262733926,91.663130151214,3.94158607134082,1.92619106117799,3.88839770562841,30.8509411330504,50.6668006748741,9.43629862398906,32.9620508784169,27.3898326645081,19.0481017488835,11.1637160842024,30.2118178330859,28943,13.0033218133361,30750,51224,20474,63.32955601,74.1,33.266,11.993,8.722,53.6,8.52898149578219,"5"
"OH",16,"OH16",24.3904512440692,23.0611062997774,43.2,48.9145319687662,93.4828458244628,2.24055984920154,2.11432712996439,5.27586650196469,26.6050972233201,55.2019227696494,7.2556951748898,31.6261766218514,28.6779469980748,20.6738641670493,11.7663170381347,32.4401812051839,31435,7.38923392210692,31664,52642,20978,86.23108314,81.1,50.232,13.961,21.654,54.8,8.68577745574112,"1"
"OK",1,"OK01",31.1224551016245,18.1216820113375,36.6,48.8003798310738,71.4893538954808,9.30475744267699,11.4315793038825,7.60570213616062,28.4930504754938,49.8089896773145,10.8709303731556,27.5634699919261,32.2233316821449,20.0451671535722,9.29710079920119,29.3422679527734,27665,14.9724851361782,27731,47218,19487,90.50004689,77.8,59.097,34.61,6.968,63.6,8.87048921115002,"3"
"OK",2,"OK02",27.4262836384762,23.1005055286177,40.3,49.7102427695714,72.576719129863,3.90804563031243,5.38044363474033,2.09432637519916,24.4825537198039,51.2480123755556,15.477425071422,37.281512120887,30.555125102812,11.3206422619828,5.36529544289614,16.6859377048789,21483,20.0853841448598,26346,39963,13617,32.68857363,67,56.215,46.081,1.675,70.35,10.2946608800085,"3"
"OK",3,"OK03",31.5027229815536,19.909085619029,37,50.439689026971,79.4330808098369,3.84751790311387,9.89806803530971,4.76916162289869,26.7071794087699,52.3343081982999,12.4787130185489,35.0751557717916,30.319050176385,15.0275607764533,7.09952025682132,22.1270810332746,25202,14.8946249653574,29720,41392,11672,51.0323451,72,55.785,37.684,4.036,73.75,9.46310420760039,"3"
